talk stall [MASK] [MASK] [MASK]
Weir enter [MASK] [MASK] [MASK]
Weir tell he [MASK] [MASK]
he get angry [MASK] [MASK]
she do anything [MASK] [MASK]
she leave [MASK] [MASK] [MASK]
they allow use [MASK] [MASK]
they use Stargate [MASK] [MASK]
she talk [MASK] sg-1 with
they use it [MASK] [MASK]
they want show [MASK] [MASK]
they show goodwill [MASK] [MASK]
she tell they [MASK] [MASK]
Carter propose use teltak [MASK]
Asgard help Neill [MASK] [MASK]
they need ship future in
engine burn [MASK] flight on
Weir deny request [MASK] [MASK]
[MASK] ask she [MASK] [MASK]
she reconsider request [MASK] [MASK]
she deny [MASK] [MASK] [MASK]
Carter threaten refuse [MASK] [MASK]
Carter refuse work [MASK] [MASK]
she get allowance [MASK] [MASK]
Carter talk [MASK] Teac with
Daniel enter [MASK] [MASK] [MASK]
he have stay [MASK] [MASK]
he stay [MASK] [MASK] [MASK]
two fail [MASK] [MASK] [MASK]
he inform [MASK] [MASK] [MASK]
Carter fly [MASK] hyperspace through
Teac fly [MASK] hyperspace through
Neill modify engine [MASK] [MASK]
he do it [MASK] [MASK]
she find [MASK] [MASK] [MASK]
she try start [MASK] [MASK]
she start conversation [MASK] [MASK]
gate activate [MASK] [MASK] [MASK]
they receive message [MASK] [MASK]
Lord want arrange [MASK] [MASK]
Lord arrange meeting [MASK] [MASK]
Weir authorize start Hayes by
Weir start negotiation [MASK] [MASK]
Daniel inform she Lords about
sun become hole [MASK] [MASK]
engine burn [MASK] [MASK] [MASK]
Carter reach Hala [MASK] [MASK]
Carter find [MASK] [MASK] [MASK]
Teac reach Hala [MASK] [MASK]
they break free force from
they try transfer power [MASK]
they beam [MASK] Thor by
Asgard collapse sun [MASK] [MASK]
sun create hole [MASK] [MASK]
he inform they [MASK] [MASK]
it take Replicators year [MASK]
they estimate [MASK] [MASK] [MASK]
solution devise [MASK] [MASK] [MASK]
they talk block [MASK] [MASK]
Replicators reverse device [MASK] [MASK]
[MASK] escape [MASK] [MASK] [MASK]
they try escape [MASK] [MASK]
they escape [MASK] [MASK] [MASK]
Replicators fire projectile they on
